name,lat,lng,Country Code,Type,Population
Missouri,38.25031,-92.50046,US,A,5768151
Illinois,40.00032,-89.25037,US,A,12772888
Nebraska,41.50028,-99.75067,US,A,1757399
Arizona,34.5003,-111.50098,US,A,5863809
Idaho,44.5002,-114.25118,US,A,1416564
Acadiana,30.12595,-92.00939,US,L,1880000
Alaska,64.00028,-150.00028,US,A,660633
Georgia,41.99998,43.4999,GE,A,3731000
Southern California,34.68743,-116.78467,US,L,22000000
Montana,47.00025,-109.75102,US,A,930698
East South Central States,34.60739,-86.97977,US,L,17570000
Michigan,44.25029,-85.50033,US,A,9883360
South America,-14.60485,-57.65625,,L,385742554
Colorado Springs,38.83388,-104.82136,US,P,456568
"Indianapolis-Carmel-Anderson, IN",39.74743,-86.20614,US,L,1890000
Kansas City,39.09973,-94.57857,US,P,475378
Mississippi,32.75041,-89.75036,US,A,2901371
Arkansas,34.75037,-92.50044,US,A,2757631
Kentucky,38.20042,-84.87762,US,A,4206074
