,source,deflt_Country_code,name,country_code
0,Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak1,CO,pandi,PH
1,Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak1,PH,central luzon,PH
2,Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak1,PH,bulacan,PH
3,Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak2,PH,bulacan,PH
4,Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak2,PH,manaoag,PH
5,Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak2,PH,pangasinan,PH
6,Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak2,PH,palauig,PH
7,Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak2,PH,cabanatuan,PH
8,Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak2,PH,nueva ecija,PH
9,Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak2,AO,zaïre,CG
10,Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak2,CI,côte d'ivoire,CI
11,Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak2,SD,sudan,SD
12,Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak3,PH,quezon city,PH
13,Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak3,PH,bulacan,PH
14,Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak3,CO,pandi,PH
15,Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak3,ES,talavera,PH
16,Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak3,PH,eastern visayas,PH
17,Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak3,PH,tacloban,PH
18,Philippines_is_culling_6500_hogs_after_Reston_ebolavirus_outbreak3,PH,babatngon,PH
19,US_soldier_who_died_after_serving_in_Liberia_tests_negative_for_Ebola,US,texas,US
20,US_soldier_who_died_after_serving_in_Liberia_tests_negative_for_Ebola,LR,liberia,LR
21,US_soldier_who_died_after_serving_in_Liberia_tests_negative_for_Ebola,US,us,US
22,US_soldier_who_died_after_serving_in_Liberia_tests_negative_for_Ebola,AO,africa,CF
23,Patient_under_evaluation_with_Ebola-like_symptoms_in_Washington_D.C.,US,washington,US
24,Patient_under_evaluation_with_Ebola-like_symptoms_in_Washington_D.C.,US,rockville,US
25,Patient_under_evaluation_with_Ebola-like_symptoms_in_Washington_D.C.,US,maryland,US
26,Patient_under_evaluation_with_Ebola-like_symptoms_in_Washington_D.C.,NG,nigeria,NG
27,Scottish_Ebola_nurse_Pauline_Cafferkey_%27critically_ill%27_says_Royal_Free_Hospital,GB,london,GB
28,Scottish_Ebola_nurse_Pauline_Cafferkey_%27critically_ill%27_says_Royal_Free_Hospital,SL,sierra leone,SL
29,Scottish_Ebola_nurse_Pauline_Cafferkey_%27critically_ill%27_says_Royal_Free_Hospital,GB,glasgow,GB
30,Bird_flu_outbreak_kills_birds_in_Krasnodar_region,RU,krasnodar,RU
31,Bird_flu_outbreak_kills_birds_in_Krasnodar_region,RU,russia,RU
32,Bird_flu_outbreak_kills_birds_in_Krasnodar_region,RU,temryuk,RU
33,Bird_flu_outbreak_kills_birds_in_Krasnodar_region,RU,anapa,RU
34,Taiwan_culls_18000_chickens_due_to_H5N2_virus_outbreak,TW,taiwan,TW
35,Taiwan_culls_18000_chickens_due_to_H5N2_virus_outbreak,TW,lujhu,TW
36,Taiwan_culls_18000_chickens_due_to_H5N2_virus_outbreak,TW,taoyuan,TW
37,Taiwan_culls_18000_chickens_due_to_H5N2_virus_outbreak,TW,kaohsiung,TW
38,Wild_Canadian_Goose_tests_positive_for_H5N1_in_England,AU,dorset,GB
39,Wild_Canadian_Goose_tests_positive_for_H5N1_in_England,GB,england,GB
40,%22Low_pathogenic%22_H5N1_Bird_Flu_virus_found_in_wild_ducks_in_Maryland_and_Pennsylvania,US,queen anne's county,US
41,%22Low_pathogenic%22_H5N1_Bird_Flu_virus_found_in_wild_ducks_in_Maryland_and_Pennsylvania,US,crawford county,US
42,%22Low_pathogenic%22_H5N1_Bird_Flu_virus_found_in_wild_ducks_in_Maryland_and_Pennsylvania,US,pennsylvania,US
43,%22Low_pathogenic%22_H5N1_Bird_Flu_virus_found_in_wild_ducks_in_Maryland_and_Pennsylvania,IN,asia,CN
44,%22Low_pathogenic%22_H5N1_Bird_Flu_virus_found_in_wild_ducks_in_Maryland_and_Pennsylvania,AT,europe,PL
45,%22Low_pathogenic%22_H5N1_Bird_Flu_virus_found_in_wild_ducks_in_Maryland_and_Pennsylvania,AO,africa,CF
46,%22Low_pathogenic%22_H5N1_Bird_Flu_virus_found_in_wild_ducks_in_Maryland_and_Pennsylvania,US,maryland,US
47,Avian_flu_found_in_eastern_Canada,CA,canada,CA
48,Avian_flu_found_in_eastern_Canada,CA,prince edward island,CA
49,Avian_flu_found_in_eastern_Canada,PY,o'leary,CA
50,Avian_flu_found_in_eastern_Canada,HT,west prince,CA
51,%22Aggressive%22_Bird_Flu_found_in_Sweden,SE,oskarshamn,SE
52,%22Aggressive%22_Bird_Flu_found_in_Sweden,SE,sweden,SE
53,%22Aggressive%22_Bird_Flu_found_in_Sweden,AT,eu,PL
54,%22Aggressive%22_Bird_Flu_found_in_Sweden,SE,uppsala,SE
55,%22Aggressive%22_Bird_Flu_found_in_Sweden,GB,uk,GB
56,%22Aggressive%22_Bird_Flu_found_in_Sweden,DE,rügen,DE
57,%22Aggressive%22_Bird_Flu_found_in_Sweden,US,baltic sea,
58,Avian_Flu_is_confirmed_in_Egypt,EG,egypt,EG
59,Avian_Flu_is_confirmed_in_Egypt,HR,mediterranean,
60,Avian_Flu_is_confirmed_in_Egypt,EG,cairo,EG
61,Avian_Flu_is_confirmed_in_Egypt,EG,giza,EG
62,Avian_Flu_is_confirmed_in_Egypt,EG,al-minya,EG
63,"Bird_Flu_confirmed_in_1,000_UK_turkeys",GB,united kingdom,GB
64,"Bird_Flu_confirmed_in_1,000_UK_turkeys",GB,uk,GB
65,"Bird_Flu_confirmed_in_1,000_UK_turkeys",US,suffolk,GB
66,"Bird_Flu_confirmed_in_1,000_UK_turkeys",NF,norfolk,GB
67,"Bird_Flu_confirmed_in_1,000_UK_turkeys",GB,weybridge,GB
68,Bird_Flu_kills_40th_Indonesian,ID,tulungagung,ID
69,Bird_Flu_kills_40th_Indonesian,ID,east java,ID
70,Bird_Flu_kills_40th_Indonesian,HK,hong kong,CN
71,Bird_Flu_kills_40th_Indonesian,ID,indonesia,ID
72,Bird_flu_spreading_through_Indonesia_and_China,ID,jakarta,ID
73,Bird_flu_spreading_through_Indonesia_and_China,ID,indonesia,ID
74,Bird_flu_spreading_through_Indonesia_and_China,CN,fujian,CN
75,Bird_flu_spreading_through_Indonesia_and_China,CN,china,CN
76,British_report_says_the_U.K._is_preparing_%27mass_graves%27_for_humans_if_Bird_Flu_mutates,AU,wales,GB
77,British_report_says_the_U.K._is_preparing_%27mass_graves%27_for_humans_if_Bird_Flu_mutates,GB,england,GB
78,Chickens_at_a_Norfolk_farm_to_be_culled_after_testing_positive_for_bird_flu,NF,norfolk,GB
79,Chickens_at_a_Norfolk_farm_to_be_culled_after_testing_positive_for_bird_flu,GB,england,GB
80,Chickens_at_a_Norfolk_farm_to_be_culled_after_testing_positive_for_bird_flu,NL,netherlands,NL
81,Chickens_at_a_Norfolk_farm_to_be_culled_after_testing_positive_for_bird_flu,GB,uk,GB
82,Chickens_at_a_Norfolk_farm_to_be_culled_after_testing_positive_for_bird_flu,GB,fife,GB
83,China_and_Europe_face_new_avian_flu_outbreaks,CN,china,CN
84,China_and_Europe_face_new_avian_flu_outbreaks,RU,russia,RU
85,China_and_Europe_face_new_avian_flu_outbreaks,RO,romania,RO
86,China_and_Europe_face_new_avian_flu_outbreaks,MK,macedonia,MK
87,China_and_Europe_face_new_avian_flu_outbreaks,CN,hohhot,CN
88,China_and_Europe_face_new_avian_flu_outbreaks,CN,inner mongolia,CN
89,China_and_Europe_face_new_avian_flu_outbreaks,RU,moscow,RU
90,Duck_hunters_asked_to_help_monitor_spread_of_Avian_Flu,US,virginia,US
91,Duck_hunters_asked_to_help_monitor_spread_of_Avian_Flu,US,us,US
92,Duck_hunters_asked_to_help_monitor_spread_of_Avian_Flu,PE,pacific,
93,Duck_hunters_asked_to_help_monitor_spread_of_Avian_Flu,US,alaska,US
94,Duck_hunters_asked_to_help_monitor_spread_of_Avian_Flu,MX,americas,MX
95,Duck_hunters_asked_to_help_monitor_spread_of_Avian_Flu,CA,pacific northwest,US
96,Duck_hunters_asked_to_help_monitor_spread_of_Avian_Flu,IN,asia,CN
97,Duck_hunters_asked_to_help_monitor_spread_of_Avian_Flu,US,atlantic,
98,Duck_hunters_asked_to_help_monitor_spread_of_Avian_Flu,AT,europe,PL
99,Duck_hunters_asked_to_help_monitor_spread_of_Avian_Flu,AO,africa,CF
100,Duck_hunters_asked_to_help_monitor_spread_of_Avian_Flu,CA,north america,CA
101,Europe_restricts_poultry_as_bird_flu_spreads_to_eight_European_nations,AT,europe,PL
102,Europe_restricts_poultry_as_bird_flu_spreads_to_eight_European_nations,GR,greece,GR
103,Europe_restricts_poultry_as_bird_flu_spreads_to_eight_European_nations,BG,bulgaria,BG
104,Europe_restricts_poultry_as_bird_flu_spreads_to_eight_European_nations,IT,italy,IT
105,Europe_restricts_poultry_as_bird_flu_spreads_to_eight_European_nations,AT,austria,AT
106,Europe_restricts_poultry_as_bird_flu_spreads_to_eight_European_nations,DE,germany,DE
107,Europe_restricts_poultry_as_bird_flu_spreads_to_eight_European_nations,SI,slovenia,SI
108,Europe_restricts_poultry_as_bird_flu_spreads_to_eight_European_nations,HR,croatia,HR
109,Europe_restricts_poultry_as_bird_flu_spreads_to_eight_European_nations,DK,denmark,DK
110,Europe_restricts_poultry_as_bird_flu_spreads_to_eight_European_nations,AO,africa,CF
111,Europe_restricts_poultry_as_bird_flu_spreads_to_eight_European_nations,AT,western europe,DE
112,Europe_restricts_poultry_as_bird_flu_spreads_to_eight_European_nations,RU,russia,RU
113,Europe_restricts_poultry_as_bird_flu_spreads_to_eight_European_nations,UA,ukraine,UA
114,Europe_restricts_poultry_as_bird_flu_spreads_to_eight_European_nations,TR,black sea,
115,Egyptian_woman_becomes_third_to_die_of_bird_flu_in_a_week,EG,egypt,EG
116,Egyptian_woman_becomes_third_to_die_of_bird_flu_in_a_week,EG,daqahliya,EG
117,Egyptian_woman_becomes_third_to_die_of_bird_flu_in_a_week,EG,beni suef,EG
118,First_bird_flu_case_reported_in_North_Korea,KP,north korea,KP
119,First_bird_flu_case_reported_in_North_Korea,KP,pyongyang,KP
120,"First_bird_flu_cases_registered_In_Maharashtra,_India",IN,india,IN
121,"First_bird_flu_cases_registered_In_Maharashtra,_India",IN,maharashtra,IN
122,"First_bird_flu_cases_registered_In_Maharashtra,_India",IN,mumbai,IN
123,"First_bird_flu_cases_registered_In_Maharashtra,_India",IN,nandurbar,IN
124,"First_bird_flu_cases_registered_In_Maharashtra,_India",IN,dhule,IN
125,First_Iraqi_case_of_Avian_Flu_reported,IQ,iraq,IQ
126,First_Iraqi_case_of_Avian_Flu_reported,US,united states,US
127,First_Iraqi_case_of_Avian_Flu_reported,EG,cairo,EG
128,First_Iraqi_case_of_Avian_Flu_reported,GB,uk,GB
129,First_Iraqi_case_of_Avian_Flu_reported,IQ,ranya,IQ
130,First_Iraqi_case_of_Avian_Flu_reported,TR,turkey,TR
131,H5N1_bird_flu_confirmed_in_the_Netherlands,NL,rotterdam,NL
132,H5N1_bird_flu_confirmed_in_the_Netherlands,NL,lelystad,NL
133,H5N1_bird_flu_confirmed_in_the_Netherlands,NL,netherlands,NL
134,H5N1_bird_flu_virus_reaches_Poland,PL,poland,PL
135,H5N1_bird_flu_virus_reaches_Poland,PL,toruń,PL
136,H5N1_bird_flu_virus_reaches_Poland,GB,weybridge,GB
137,H5N1_bird_flu_virus_reaches_Poland,GB,england,GB
138,H5N1_bird_flu_virus_reaches_Poland,PL,pulawy,PL
139,H5N1_confirmed_in_France,FR,lyon,FR
140,H5N1_confirmed_in_France,FR,france,FR
141,H5N1_confirmed_in_France,AT,austria,AT
142,H5N1_confirmed_in_France,DE,germany,DE
143,H5N1_confirmed_in_France,SI,slovenia,SI
144,H5N1_confirmed_in_France,GR,greece,GR
145,H5N1_confirmed_in_France,IT,italy,IT
146,H5N1_confirmed_in_France,HR,croatia,HR
147,H5N1_confirmed_in_France,DK,denmark,DK
148,H5N1_confirmed_in_France,AT,europe,PL
149,H5N1_confirmed_in_France,FR,somme,FR
150,H5N1_strain_of_Avian_Flu_found_in_the_UK,GB,united kingdom,GB
151,H5N1_strain_of_Avian_Flu_found_in_the_UK,US,suffolk,GB
152,H5N1_strain_of_Avian_Flu_found_in_the_UK,GB,england,GB
153,H5N1_strain_of_Avian_Flu_found_in_the_UK,GB,fife,GB
154,H5N1_strain_of_Avian_Flu_found_in_the_UK,GB,scotland,GB
155,Indonesian_Health_Ministry:_Two_new_human_clusters_of_Bird_Flu_suspected_in_Sumatra,ID,sumatra,ID
156,Indonesian_Health_Ministry:_Two_new_human_clusters_of_Bird_Flu_suspected_in_Sumatra,ID,medan,ID
157,Mass_poultry_vaccination_planned_by_China,CN,china,CN
158,Mass_poultry_vaccination_planned_by_China,CN,anhui,CN
159,Mass_poultry_vaccination_planned_by_China,CN,hunan,CN
160,Mass_poultry_vaccination_planned_by_China,CN,liaoning,CN
161,New_avian_flu_outbreaks_reported_in_western_Europe,DE,germany,DE
162,New_avian_flu_outbreaks_reported_in_western_Europe,FR,france,FR
163,New_avian_flu_outbreaks_reported_in_western_Europe,DE,saxony-anhalt,DE
164,New_avian_flu_outbreaks_reported_in_western_Europe,DE,thuringia,DE
165,New_avian_flu_outbreaks_reported_in_western_Europe,AT,europe,PL
166,New_bird_flu_outbreaks_reported_in_Europe,RO,romania,RO
167,New_bird_flu_outbreaks_reported_in_Europe,RO,ciocile,RO
168,New_bird_flu_outbreaks_reported_in_Europe,RO,brăila,RO
169,New_bird_flu_outbreaks_reported_in_Europe,RO,ceamurlia de jos,RO
170,New_bird_flu_outbreaks_reported_in_Europe,RO,maliuc,RO
171,New_bird_flu_outbreaks_reported_in_Europe,BG,caraorman,RO
172,New_bird_flu_outbreaks_reported_in_Europe,RU,russia,RU
173,New_bird_flu_outbreaks_reported_in_Europe,UA,crimea,UA
174,Suspected_low_pathogenic_H5N1_Bird_Flu_virus_found_in_the_United_States,US,michigan,US
175,Suspected_low_pathogenic_H5N1_Bird_Flu_virus_found_in_the_United_States,US,lake erie,US
176,Suspected_low_pathogenic_H5N1_Bird_Flu_virus_found_in_the_United_States,US,monroe county,US
177,Suspected_low_pathogenic_H5N1_Bird_Flu_virus_found_in_the_United_States,US,ames,US
178,Suspected_low_pathogenic_H5N1_Bird_Flu_virus_found_in_the_United_States,US,iowa,US
179,Suspected_low_pathogenic_H5N1_Bird_Flu_virus_found_in_the_United_States,CA,north america,CA
180,Suspected_low_pathogenic_H5N1_Bird_Flu_virus_found_in_the_United_States,IN,asia,CN
181,Swan_in_German_zoo_tests_positive_for_H5N1_virus,DE,dresden,DE
182,Swan_in_German_zoo_tests_positive_for_H5N1_virus,DE,germany,DE
183,Turkish_government_accused_of_being_too_slow_to_respond_to_bird_flu,TR,dogubayazit,TR
184,Turkish_government_accused_of_being_too_slow_to_respond_to_bird_flu,TR,turkey,TR
185,Wild_ducks_in_Illinois_test_positive_for_%22low_pathogenic%22_Bird_Flu_virus,US,rice lake,US
186,Wild_ducks_in_Illinois_test_positive_for_%22low_pathogenic%22_Bird_Flu_virus,US,fulton county,US
187,Wild_ducks_in_Illinois_test_positive_for_%22low_pathogenic%22_Bird_Flu_virus,US,illinois,US
