Output_sne,lat,lng,Country_Code,Type,Population,Desamb_Phase,input_sne,source
Austria,47.33333,13.33333,AT,A,8847037,defaultgeo,Eu,%22Aggressive%22_Bird_Flu_found_in_Sweden
Bergen auf Rügen,54.41823,13.43349,DE,P,14771,defaultgeo,Rügen,%22Aggressive%22_Bird_Flu_found_in_Sweden
City of Baltic,43.76031,-96.73698,US,A,1089,defaultgeo,Baltic Sea,%22Aggressive%22_Bird_Flu_found_in_Sweden
Queen Anne's,39.03763,-76.08504,US,A,47798,defaultgeo,Queen Anne's County,%22Low_pathogenic%22_H5N1_Bird_Flu_virus_found_in_wild_ducks_in_Maryland_and_Pennsylvania
Crawford,32.7145,-83.98634,US,A,12404,defaultgeo,Crawford County,%22Low_pathogenic%22_H5N1_Bird_Flu_virus_found_in_wild_ducks_in_Maryland_and_Pennsylvania
India,22,79,IN,A,1352617328,defaultgeo,Asia,%22Low_pathogenic%22_H5N1_Bird_Flu_virus_found_in_wild_ducks_in_Maryland_and_Pennsylvania
Austria,47.33333,13.33333,AT,A,8847037,defaultgeo,Europe,%22Low_pathogenic%22_H5N1_Bird_Flu_virus_found_in_wild_ducks_in_Maryland_and_Pennsylvania
Angola,-12.5,18.5,AO,A,30809762,defaultgeo,Africa,%22Low_pathogenic%22_H5N1_Bird_Flu_virus_found_in_wild_ducks_in_Maryland_and_Pennsylvania
North Sumatra,2,99,ID,A,9630873,defaultgeo,Sumatra,%22No_H5N1_virus%22_found_in_blood_tests_of_suspected_human_Bird_Flu_cluster
Zamfara State,12.16667,6.25,NG,A,3602356,defaultgeo,Zamfara,163_dead_after_lead_poisoning_in_Nigeria
French Southern Territories,-43,67,TF,A,140,defaultgeo,Indian Ocean,"186,000_cases_of_chikungunya_in_R%C3%A9union"
French Southern Territories,-43,67,TF,A,140,defaultgeo,Indian Ocean,"750,000_could_be_affected_by_flooding_in_Kenya,_UN_says"
Peru,-10,-75.25,PE,A,31989256,defaultgeo,Pacific,"750,000_could_be_affected_by_flooding_in_Kenya,_UN_says"
Angola,-12.5,18.5,AO,A,30809762,defaultgeo,Africa,African_leaders_start_drive_to_eradicate_malaria
Canada,60.10867,-113.64258,CA,A,37058856,defaultgeo,North America,Alarm_sounded_over_US_honey_bee_die-off
Uíge,-7.10719,15.44056,AO,A,1426354,defaultgeo,Uige,"Angola:_Marburg_virus_still_spreading,_180_dead"
India,22,79,IN,A,1352617328,defaultgeo,Asia,Asian_monsoon_rains_force_millions_to_flee
Croatia,45.16667,15.5,HR,A,4089400,defaultgeo,Mediterranean,Avian_Flu_is_confirmed_in_Egypt
Minya,28.09193,30.75813,EG,P,283605,defaultgeo,Al-Minya,Avian_Flu_is_confirmed_in_Egypt
Port-au-Prince,18.54349,-72.33881,HT,P,1234742,defaultgeo,West Prince,Avian_flu_found_in_eastern_Canada
Henderson,36.0397,-114.98194,US,P,285667,defaultgeo,Clark County,B.B._King%27s_daughters_allege_blues_musician_was_poisoned
Jammu and Kashmir,33.5329,75.40781,IN,A,12258433,defaultgeo,Kashmir,Bad_weather_makes_life_tougher_for_quake_survivors
Angola,-12.5,18.5,AO,A,30809762,defaultgeo,Africa,Bluetongue_disease_appears_in_UK_for_the_first_time
Finland,64,26,FI,A,5518050,defaultgeo,Northern Europe,Bluetongue_outbreak_in_Germany
United Kingdom,54.75844,-2.69531,GB,A,66488991,defaultgeo,Britain,Britain%27s_deadly_bug_possibly_imported_from_U.S._or_Canada
China,35,105,CN,A,1411778724,defaultgeo,People's Republic of China,Child_virus_outbreak_reaches_Beijing
North Macedonia,41.66667,21.75,MK,A,2082958,defaultgeo,Macedonia,China_and_Europe_face_new_avian_flu_outbreaks
Dallas,32.78306,-96.80667,US,P,1300092,defaultgeo,Dallas County,Cities_across_Texas_increase_efforts_to_combat_mosquitos
Dallas,32.78306,-96.80667,US,P,1300092,defaultgeo,North Dallas,Cities_across_Texas_increase_efforts_to_combat_mosquitos
East Java,-7.7394,112.5099,ID,A,22200177,defaultgeo,Java,Death_toll_in_Indonesian_tsunami_continues_to_rise
Northern Darfur,16,25.5,SD,A,1583179,defaultgeo,Darfur,"Disease_scare_in_south_Sudan,_aid_groups_return"
Nyala,12.04888,24.88069,SD,P,565734,defaultgeo,South Darfur,"Disease_scare_in_south_Sudan,_aid_groups_return"
Austria,47.33333,13.33333,AT,A,8847037,defaultgeo,Europe,"Drug-resistant_flu_rising,_says_WHO"
Peru,-10,-75.25,PE,A,31989256,defaultgeo,Pacific,Duck_hunters_asked_to_help_monitor_spread_of_Avian_Flu
Northwest Territories,69.50061,-121.50445,CA,A,31247,defaultgeo,Pacific Northwest,Duck_hunters_asked_to_help_monitor_spread_of_Avian_Flu
India,22,79,IN,A,1352617328,defaultgeo,Asia,Duck_hunters_asked_to_help_monitor_spread_of_Avian_Flu
Austria,47.33333,13.33333,AT,A,8847037,defaultgeo,Europe,Duck_hunters_asked_to_help_monitor_spread_of_Avian_Flu
Angola,-12.5,18.5,AO,A,30809762,defaultgeo,Africa,Duck_hunters_asked_to_help_monitor_spread_of_Avian_Flu
Canada,60.10867,-113.64258,CA,A,37058856,defaultgeo,North America,Duck_hunters_asked_to_help_monitor_spread_of_Avian_Flu
Croatia,45.16667,15.5,HR,A,4089400,defaultgeo,Mediterranean,Dutch_sheep_contaminated_by_bluetongue
DR Congo,-2.5,23.5,CD,A,84068091,defaultgeo,Republic of Congo,Ebola_outbreak_in_Congo
India,22,79,IN,A,1352617328,defaultgeo,Asia,Effort_on_to_eradicate_Polio_from_Asia_in_2005
Al Mansurah,31.03637,31.38069,EG,P,621953,defaultgeo,Daqahliya,Egyptian_woman_becomes_third_to_die_of_bird_flu_in_a_week
Banī Suwayf,29.07441,31.09785,EG,P,273151,defaultgeo,Beni Suef,Egyptian_woman_becomes_third_to_die_of_bird_flu_in_a_week
San Fernando,16.81539,121.72214,PH,A,0,defaultgeo,San Fernando Valley,"Envelopes_containing_white_powder_sent_to_Church_of_Scientology_locations_in_southern_California,_USA"
Angola,-12.5,18.5,AO,A,30809762,defaultgeo,Africa,"Eritrea_plans_to_vaccinate_500,000_children"
Austria,47.33333,13.33333,AT,A,8847037,defaultgeo,Europe,Europe_restricts_poultry_as_bird_flu_spreads_to_eight_European_nations
Angola,-12.5,18.5,AO,A,30809762,defaultgeo,Africa,Europe_restricts_poultry_as_bird_flu_spreads_to_eight_European_nations
Austria,47.33333,13.33333,AT,A,8847037,defaultgeo,Western Europe,Europe_restricts_poultry_as_bird_flu_spreads_to_eight_European_nations
Karabük,41.25,32.5,TR,A,230251,defaultgeo,Black Sea,Europe_restricts_poultry_as_bird_flu_spreads_to_eight_European_nations
Central Jutland,56.16667,9.5,DK,A,1253998,defaultgeo,Jutland,Exploding_toads_confuse_scientists
United Kingdom,54.75844,-2.69531,GB,A,66488991,defaultgeo,Britain,FDA_recalls_foreign_meat_used_in_aid_for_victims_of_Hurricane_Katrina
Rania District,36.2571,44.88275,IQ,A,0,defaultgeo,Ranya,First_Iraqi_case_of_Avian_Flu_reported
United Kingdom,54.75844,-2.69531,GB,A,66488991,defaultgeo,Britain,"Former_Russian_spy_Litvinenko_dies,_radioactive_poisoning_suspected"
West Bromwich,52.51868,-1.9945,GB,P,135618,defaultgeo,West Midlands,"Four_people_die_after_contracting_H1N1_swine_flu_virus_in_West_Midlands,_England"
Peru,-10,-75.25,PE,A,31989256,defaultgeo,South America,Frog-killing_fungus_spreads_across_Panama_Canal_towards_South_America
India,22,79,IN,A,1352617328,defaultgeo,Asia,Frog-killing_fungus_spreads_across_Panama_Canal_towards_South_America
Puławy,51.41655,21.96939,PL,P,49759,defaultgeo,Pulawy,H5N1_bird_flu_virus_reaches_Poland
Austria,47.33333,13.33333,AT,A,8847037,defaultgeo,Europe,H5N1_confirmed_in_France
Dallas,32.78306,-96.80667,US,P,1300092,defaultgeo,Dallas County,HIV-positive_man_receives_35_years_for_spitting_on_Dallas_police_officer
Kasaï-Occidental,-5.33333,21.58333,CD,A,4545940,defaultgeo,Kasai Occidental,Health_organisations_respond_to_Ebola_outbreak_in_Democratic_Republic_of_the_Congo
Kasaï-Occidental,-5.33333,21.58333,CD,A,4545940,defaultgeo,West Kasai,Health_organisations_respond_to_Ebola_outbreak_in_Democratic_Republic_of_the_Congo
China,35,105,CN,A,1411778724,defaultgeo,People's Republic of China,"Highly_contagious_Hand,_foot_and_mouth_disease_killing_China%27s_children"
Akita,39.71667,140.11667,JP,P,305625,defaultgeo,Akita Prefecture,Hong_Kong_flu_kills_six_in_Japan
Davenport,41.52364,-90.57764,US,P,102582,defaultgeo,Scott County,Indiana_Governor_signs_needle_exchange_program
North Sumatra,2,99,ID,A,9630873,defaultgeo,Sumatra,Indonesian_Health_Ministry:_Two_new_human_clusters_of_Bird_Flu_suspected_in_Sumatra
Province of Pangasinan,15.91667,120.33333,PH,A,3163190,defaultgeo,Pangasinan,International_experts_probe_deadly_Ebola_Reston_virus_outbreak_in_Philippine_pigs
Province of Nueva Ecija,15.58333,121,PH,A,2310134,defaultgeo,Nueva Ecija,International_experts_probe_deadly_Ebola_Reston_virus_outbreak_in_Philippine_pigs
